Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2000,3,22,Massachusetts,60.6%,59.9%,55.4%,"2,736,006","2,704,984","4,517,052","4,870,470",8.0%,0,0,0,0,
2000,23,23,Michigan,60.5%,59.9%,57.3%,"4,279,299","4,232,501","7,070,702","7,370,524",3.3%,"47,718",0,0,"47,718",
2000,33,24,Minnesota,70.1%,69.5%,66.4%,"2,458,303","2,438,657","3,506,432","3,662,005",3.7%,"6,238","115,906","3,072","67,263",
2000,46,25,Mississippi,,49.1%,47.8%,,"994,184","2,024,650","2,076,861",1.0%,"20,241","15,118","1,596","29,396",
2000,34,26,Missouri,,58.2%,56.2%,,"2,359,892","4,052,255","4,190,073",1.8%,"27,382","53,299","12,563","66,595",
2000,64,27,Montana,62.6%,61.6%,60.6%,"417,916","410,986","667,525","676,065",0.9%,"3,105",0,0,"3,105",
2000,35,28,Nebraska,57.8%,56.9%,55.0%,"707,223","696,983","1,224,178","1,266,496",3.4%,"3,895","21,483",476,"15,113",
2000,65,29,Nevada,45.6%,45.2%,40.2%,"613,360","608,970","1,346,116","1,523,209",11.8%,"10,063","12,189","4,056","20,214",
2000,4,30,New Hampshire,65.0%,63.9%,60.7%,"578,656","569,081","890,622","934,176",2.7%,"2,257",0,0,"2,257",
2000,12,31,New Jersey,58.8%,56.9%,50.1%,"3,293,378","3,187,226","5,601,788","6,356,954",11.0%,"29,784","130,610","11,709","106,798",
2000,66,32,New Mexico,49.9%,48.5%,45.4%,"615,607","598,605","1,234,088","1,318,129",6.4%,"5,342","10,461","1,670","12,243",
2000,13,33,New York,56.2%,55.1%,47.5%,"6,960,215","6,821,999","12,380,208","14,344,348",12.7%,"70,198",0,"57,858","128,056",
2000,47,34,North Carolina,52.5%,50.7%,47.5%,"3,015,964","2,911,262","5,744,241","6,143,214",4.6%,"31,532","105,949","3,352","87,859",
2000,36,35,North Dakota,61.1%,60.3%,59.7%,"292,249","288,256","477,968","482,078",1.2%,"1,076",0,0,"1,076",
2000,24,36,Ohio,57.8%,56.7%,55.4%,"4,795,989","4,705,457","8,295,592","8,487,355",1.8%,"45,833",0,0,"45,833",
2000,53,37,Oklahoma,,49.9%,48.0%,,"1,234,229","2,475,220","2,568,304",2.9%,"23,181","30,969","1,825","40,491",
2000,72,38,Oregon,65.9%,64.9%,59.1%,"1,559,215","1,533,968","2,364,402","2,595,354",6.4%,"10,580",0,0,"10,580",
2000,14,39,Pennsylvania,,54.1%,52.3%,,"4,912,185","9,086,897","9,375,146",2.4%,"36,847",0,0,"36,847",
2000,5,40,Rhode Island,54.7%,54.2%,50.7%,"412,074","408,783","753,877","804,417",6.9%,"3,286","20,922",331,"14,078",
2000,48,41,South Carolina,48.7%,47.0%,45.7%,"1,433,533","1,382,717","2,944,326","3,025,380",2.2%,"21,778","44,632","4,378","48,472",
2000,37,42,South Dakota,58.7%,57.7%,56.9%,"322,159","316,269","548,498","554,875",1.2%,"2,616",0,0,"2,616",
2000,54,43,Tennessee,50.5%,49.9%,48.1%,"2,100,241","2,076,181","4,162,996","4,316,391",2.2%,"22,166","40,682","8,093","50,600",
2000,49,44,Texas,49.2%,49.2%,42.4%,"6,407,637","6,407,037","13,033,081","15,138,468",11.4%,"166,719","441,848","111,719","499,362",
2000,67,45,Utah,54.8%,53.8%,50.3%,"784,582","770,754","1,431,668","1,534,950",6.1%,"5,632",0,0,"5,632",
2000,6,46,Vermont,64.7%,64.1%,63.1%,"297,146","294,308","459,174","463,503",2.0%,0,0,0,0,
2000,40,47,Virginia,55.0%,54.0%,50.9%,"2,789,808","2,739,447","5,069,265","5,389,008",5.6%,"30,168","33,955","5,148","52,294",
2000,73,48,Washington,61.4%,60.7%,56.2%,"2,517,028","2,487,433","4,098,044","4,419,907",6.9%,"14,915","154,466",160,"92,308",
2000,56,49,West Virginia,,46.6%,46.1%,,"648,124","1,390,365","1,405,021",0.6%,"3,856","6,216","1,112","8,076",
2000,25,50,Wisconsin,,67.6%,64.5%,,"2,598,607","3,842,044","4,016,401",2.4%,"20,612","53,242","9,923","57,156",
2000,68,51,Wyoming,61.4%,59.2%,58.2%,"221,685","213,726","361,078","366,639",1.5%,"1,680","4,115",514,"4,252",
1998,0,0,United States,39.3%,38.1%,35.3%,"74,825,832","72,537,000","190,419,570","205,313,182",7.3%,"1,285,469","2,236,975","515,924","2,919,881","2,937,000"
1998,41,1,Alabama,,41.2%,40.0%,,"1,317,842","3,202,052","3,293,917",1.3%,"22,676","40,379","5,221","48,087",
1998,81,2,Alaska,55.6%,54.6%,52.0%,"227,156","223,300","408,758","429,317",3.2%,"4,097","4,274",478,"6,712",
1998,61,3,Arizona,32.1%,31.5%,28.0%,"1,037,550","1,017,616","3,232,815","3,628,841",9.4%,"25,311","51,329","3,742","54,718",
1998,42,4,Arkansas,,37.5%,36.2%,,"706,011","1,882,181","1,951,741",1.9%,"10,638","28,698","6,979","31,966",
1998,71,5,California,44.7%,43.5%,35.0%,"8,617,649","8,381,871","19,264,556","23,980,067",18.5%,"161,904",0,"108,424","270,328",
1998,62,6,Colorado,,46.1%,43.0%,,"1,327,235","2,879,973","3,085,075",6.0%,"14,312",0,"5,204","19,516",
1998,1,7,Connecticut,43.7%,42.7%,39.3%,"1,022,453","999,537","2,340,956","2,544,417",6.2%,"17,605","55,000","1,396","46,501",
1998,11,8,Delaware,,33.4%,31.3%,,"180,527","540,896","576,849",3.4%,"5,558","20,030",572,"16,145",
1998,55,9,District of Columbia,34.5%,34.0%,29.9%,"137,523","135,501","398,318","452,668",9.8%,"9,829",0,0,"9,829",
1998,43,10,Florida,38.4%,37.4%,33.0%,"4,070,262","3,965,751","10,590,870","12,001,902",10.0%,"67,224","283,965","6,487","215,694",
1998,44,11,Georgia,34.6%,33.7%,30.8%,"1,842,145","1,792,880","5,326,337","5,828,114",5.2%,"39,262","278,669","20,482","199,079",
1998,82,12,Hawaii,49.6%,49.0%,44.8%,"412,520","407,556","832,172","910,645",8.1%,"4,924",0,0,"4,924",
1998,63,13,Idaho,45.8%,45.2%,42.5%,"386,720","381,248","843,914","896,422",3.5%,"4,083","31,172","1,309","20,978",
1998,21,14,Illinois,42.7%,41.0%,37.4%,"3,541,379","3,394,521","8,285,614","9,070,725",8.2%,"43,051",0,0,"43,051",
1998,22,15,Indiana,37.2%,36.5%,35.6%,"1,618,689","1,588,617","4,348,730","4,457,578",2.0%,"19,197",0,0,"19,197",
1998,31,16,Iowa,46.1%,45.3%,43.9%,"973,032","956,415","2,112,132","2,176,940",2.1%,"7,394","18,447","2,194","18,812",
1998,32,17,Kansas,39.7%,38.8%,37.2%,"743,288","727,236","1,873,438","1,955,236",3.5%,"8,183",0,"6,025","14,208",
1998,51,18,Kentucky,41.5%,39.1%,38.2%,"1,215,053","1,145,414","2,930,780","2,999,287",1.3%,"14,987","17,594","4,508","28,292",
1998,45,19,Louisiana,32.0%,31.3%,30.1%,"990,243","969,165","3,097,660","3,216,121",1.6%,"32,228","33,028","18,759","67,501",
1998,2,20,Maine,,51.6%,50.8%,,"486,808","943,577","957,916",1.5%,0,0,0,0,
1998,52,21,Maryland,43.6%,43.0%,39.6%,"1,556,994","1,535,978","3,571,087","3,879,108",6.0%,"22,572","78,051","15,528","77,126",
1998,3,22,Massachusetts,43.7%,43.0%,39.7%,"1,935,277","1,903,336","4,430,939","4,793,966",7.6%,0,0,0,0,
1998,23,23,Michigan,44.9%,43.4%,41.7%,"3,143,432","3,036,886","7,005,306","7,276,123",3.1%,"45,879",0,0,"45,879",
1998,33,24,Minnesota,62.3%,61.9%,58.8%,"2,105,343","2,091,766","3,378,089","3,555,108",3.3%,"5,572","100,818","2,995","58,976",
1998,46,25,Mississippi,,27.6%,27.0%,,"550,694","1,995,283","2,038,324",0.9%,"16,678","11,530","1,489","23,932",
1998,34,26,Missouri,,39.6%,38.4%,,"1,576,857","3,978,146","4,106,478",1.7%,"24,974","49,992","10,366","60,336",
1998,64,27,Montana,51.8%,50.7%,50.0%,"338,733","331,551","653,998","662,582",0.9%,"2,734",0,0,"2,734",
1998,35,28,Nebraska,48.6%,45.5%,43.7%,"581,775","545,238","1,197,953","1,247,656",3.0%,"3,676","16,527",624,"12,564",
1998,65,29,Nevada,35.7%,35.3%,31.1%,"440,042","435,790","1,233,386","1,402,851",10.7%,"9,651","12,561","4,055","19,987",
1998,4,30,New Hampshire,37.6%,36.3%,35.3%,"330,555","318,940","878,508","903,630",2.5%,"2,169",0,0,"2,169",
1998,12,31,New Jersey,34.4%,32.9%,29.0%,"1,894,496","1,813,094","5,505,229","6,261,197",10.3%,"31,121","129,377","13,218","109,028",
1998,66,32,New Mexico,43.1%,41.6%,38.8%,"517,355","498,703","1,199,320","1,286,104",5.8%,"4,985","10,397","1,773","11,957",
1998,13,33,New York,40.7%,38.6%,33.5%,"4,989,877","4,735,236","12,263,356","14,139,223",12.4%,"70,001",0,"59,548","129,549",
1998,47,34,North Carolina,,35.8%,33.8%,,"2,012,143","5,624,292","5,948,653",3.9%,"31,961","105,227","5,806","90,381",
1998,36,35,North Dakota,45.7%,44.9%,44.3%,"217,584","213,358","475,629","481,790",1.1%,915,0,0,915,
1998,24,36,Ohio,42.9%,41.3%,40.4%,"3,534,782","3,404,351","8,237,516","8,424,249",1.6%,"48,450",0,0,"48,450",
1998,53,37,Oklahoma,,36.2%,34.7%,,"873,585","2,415,036","2,518,285",2.6%,"20,892","29,093","1,532","36,971",
1998,72,38,Oregon,49.0%,47.2%,44.2%,"1,160,400","1,117,747","2,370,381","2,526,500",5.8%,"8,927",0,0,"8,927",
1998,14,39,Pennsylvania,,33.3%,32.5%,,"3,025,152","9,075,961","9,314,795",2.2%,"36,377",0,0,"36,377",
1998,5,40,Rhode Island,42.8%,42.3%,38.8%,"309,835","306,445","723,772","790,726",6.6%,"3,445","21,049",432,"14,402",
1998,48,41,South Carolina,38.7%,38.1%,36.7%,"1,092,430","1,077,135","2,825,173","2,931,120",1.9%,"21,764","46,482","4,404","49,409",
1998,37,42,South Dakota,49.8%,49.0%,48.3%,"266,355","262,111","534,711","543,074",1.1%,"2,422",0,0,"2,422",
1998,54,43,Tennessee,25.1%,23.9%,23.1%,"1,026,017","976,236","4,092,745","4,217,608",1.9%,"17,738","38,924","7,605","44,805",
1998,49,44,Texas,,29.9%,25.8%,,"3,738,078","12,490,423","14,504,988",10.6%,"144,510","443,688","109,820","476,174",
1998,67,45,Utah,36.7%,35.8%,33.7%,"506,553","494,909","1,381,989","1,467,078",5.5%,"4,453",0,0,"4,453",
1998,6,46,Vermont,50.4%,49.0%,48.1%,"224,382","218,120","444,772","453,574",1.9%,0,0,0,0,
1998,40,47,Virginia,,23.4%,22.0%,,"1,148,861","4,900,523","5,222,121",5.2%,"30,276","30,576","6,700","52,264",
1998,73,48,Washington,49.3%,48.4%,44.3%,"1,939,421","1,902,482","3,930,400","4,294,765",6.4%,"14,161","152,140",375,"90,606",
1998,56,49,West Virginia,29.2%,25.3%,25.0%,"405,139","351,277","1,388,176","1,403,549",0.5%,"3,478","6,511",975,"7,709",
1998,25,50,Wisconsin,,46.3%,44.6%,,"1,760,836","3,801,514","3,945,060",2.2%,"18,613","54,232","9,282","55,011",
1998,68,51,Wyoming,51.0%,49.9%,48.7%,"178,401","174,888","350,136","359,119",1.4%,"1,571","3,825",448,"3,932",
1996,0,0,United States,,51.7%,48.1%,,"96,262,935","186,347,044","200,015,917",6.8%,"1,162,253","1,865,990","491,165","2,586,413","2,499,256"
1996,41,1,Alabama,,48.8%,47.5%,,"1,534,349","3,144,249","3,227,688",1.2%,"21,760","37,865","4,966","45,659",
1996,81,2,Alaska,60.7%,59.8%,57.0%,"245,212","241,620","404,180","423,702",3.1%,"3,716","3,999",642,"6,358",
1996,61,3,Arizona,46.5%,45.6%,41.1%,"1,431,342","1,404,405","3,079,908","3,414,380",8.4%,"22,493","40,607","3,785","46,582",
1996,42,4,Arkansas,,47.9%,46.5%,,"884,262","1,844,689","1,903,094",1.6%,"9,407","25,178","5,459","27,455",
1996,71,5,California,55.0%,53.7%,43.4%,"10,263,490","10,019,484","18,644,593","23,076,427",18.1%,"146,049",0,"99,578","245,627",
1996,62,6,Colorado,,54.5%,51.4%,,"1,510,704","2,770,252","2,939,929",5.2%,"12,483",0,"3,294","15,777",
1996,1,7,Connecticut,60.4%,59.6%,55.1%,"1,410,746","1,392,614","2,337,160","2,528,212",5.8%,"15,007","55,978","1,083","44,079",
1996,11,8,Delaware,52.5%,51.2%,48.4%,"277,418","270,810","528,630","559,598",3.0%,"5,110","16,528",591,"13,965",
1996,55,9,District of Columbia,47.4%,46.6%,41.3%,"189,210","185,726","398,839","450,182",9.3%,"9,376",0,0,"9,376",
1996,43,10,Florida,53.3%,51.9%,46.1%,"5,444,245","5,300,927","10,219,294","11,509,122",9.5%,"63,763","237,117","9,243","191,565",
1996,44,11,Georgia,45.8%,44.4%,41.4%,"2,374,650","2,298,899","5,181,708","5,555,577",4.4%,"35,139","143,457","21,146","128,014",
1996,82,12,Hawaii,45.1%,43.9%,40.2%,"370,230","360,120","820,055","895,753",8.0%,"4,011",0,0,"4,011",
1996,63,13,Idaho,61.6%,59.3%,57.2%,"508,030","489,481","825,329","856,420",3.2%,"3,832",0,0,"3,832",
1996,21,14,Illinois,53.8%,52.5%,48.3%,"4,418,270","4,311,391","8,215,662","8,927,254",7.5%,"38,852",0,0,"38,852",
1996,22,15,Indiana,51.0%,49.6%,48.6%,"2,195,224","2,135,431","4,302,745","4,397,367",1.8%,"16,960",0,0,"16,960",
1996,31,16,Iowa,59.7%,58.8%,57.3%,"1,251,983","1,234,075","2,098,332","2,154,320",1.8%,"6,342","15,386","2,200","16,235",
1996,32,17,Kansas,57.8%,57.3%,55.3%,"1,073,520","1,063,452","1,856,507","1,922,601",3.0%,"7,756",0,0,"7,756",
1996,51,18,Kentucky,49.3%,48.2%,47.3%,"1,419,592","1,388,707","2,880,808","2,938,362",1.2%,"12,910","11,689","4,621","23,376",
1996,45,19,Louisiana,58.4%,57.8%,56.4%,"1,804,640","1,783,959","3,087,693","3,163,302",1.5%,"26,776",0,0,"26,776",
1996,2,20,Maine,,65.2%,64.2%,,"605,897","929,970","944,106",1.5%,0,0,0,0,
1996,52,21,Maryland,50.8%,50.4%,46.7%,"1,793,991","1,780,870","3,530,148","3,817,454",5.6%,"22,050","70,553","16,246","73,573",
1996,3,22,Massachusetts,59.3%,58.4%,54.2%,"2,600,278","2,559,180","4,385,268","4,723,380",7.2%,0,0,0,0,
1996,23,23,Michigan,56.3%,55.3%,53.4%,"3,912,261","3,848,844","6,954,059","7,201,527",2.8%,"42,349",0,0,"42,349",
1996,33,24,Minnesota,66.6%,66.1%,63.1%,"2,211,161","2,192,640","3,319,509","3,473,117",2.9%,"5,158","90,202","2,377","52,636",
1996,46,25,Mississippi,,45.9%,45.0%,,"893,857","1,949,309","1,986,327",0.8%,"13,859","10,376","1,326","20,373",
1996,34,26,Missouri,,55.1%,53.5%,,"2,158,065","3,919,885","4,035,666",1.5%,"22,003","42,386","13,087","56,283",
1996,64,27,Montana,64.7%,63.1%,62.3%,"417,232","407,083","645,052","652,991",0.9%,"2,293",0,0,"2,293",
1996,35,28,Nebraska,57.8%,57.0%,55.1%,"686,749","677,415","1,188,034","1,230,047",2.5%,"3,287","14,363",688,"11,157",
1996,65,29,Nevada,41.2%,40.9%,36.5%,"467,657","464,279","1,134,065","1,271,617",9.5%,"8,439","9,760","3,216","16,535",
1996,4,30,New Hampshire,60.1%,58.3%,56.8%,"513,700","499,053","855,287","878,569",2.4%,"2,062",0,0,"2,062",
1996,12,31,New Jersey,56.9%,56.4%,50.0%,"3,105,110","3,075,860","5,456,334","6,152,216",9.6%,"27,490","125,881","14,545","104,976",
1996,66,32,New Mexico,49.5%,47.4%,44.5%,"579,763","556,074","1,172,262","1,249,597",5.3%,"4,724","8,903","1,426","10,602",
1996,13,33,New York,52.9%,51.9%,45.3%,"6,439,129","6,316,129","12,175,850","13,942,462",11.8%,"69,709",0,"57,137","126,846",
1996,47,34,North Carolina,,46.3%,44.0%,,"2,515,807","5,435,970","5,717,844",3.3%,"30,647","102,483","12,358","94,247",
1996,36,35,North Dakota,57.1%,56.0%,55.3%,"271,850","266,411","475,898","481,497",1.0%,722,0,0,722,
1996,24,36,Ohio,56.7%,55.4%,54.2%,"4,638,108","4,534,434","8,185,999","8,366,250",1.5%,"46,174",0,"6,331","52,505",
1996,53,37,Oklahoma,51.4%,51.0%,49.0%,"1,218,248","1,206,713","2,368,311","2,461,718",2.3%,"19,593","28,090","2,159","35,797",
1996,72,38,Oregon,60.6%,59.7%,56.3%,"1,399,180","1,377,760","2,309,051","2,445,442",5.2%,"8,661",0,0,"8,661",
1996,14,39,Pennsylvania,,49.7%,48.5%,,"4,506,118","9,063,470","9,283,893",2.0%,"34,537",0,0,"34,537",
1996,5,40,Rhode Island,,54.4%,49.9%,,"390,247","717,041","781,307",6.4%,"3,271","20,446",573,"14,067",
1996,48,41,South Carolina,44.1%,42.2%,40.8%,"1,203,486","1,151,422","2,731,064","2,825,088",1.7%,"20,446","42,417","5,036","46,691",
1996,37,42,South Dakota,62.2%,61.1%,60.3%,"329,316","323,826","529,793","537,038",1.0%,"2,063",0,0,"2,063",
1996,54,43,Tennessee,,47.5%,46.3%,,"1,894,105","3,984,092","4,094,014",1.6%,"15,626","37,002","8,934","43,061",
1996,49,44,Texas,,46.5%,40.4%,,"5,611,644","12,072,149","13,887,542",9.8%,"132,383","429,329","112,594","459,642",
1996,67,45,Utah,52.1%,50.2%,47.7%,"691,016","665,629","1,326,919","1,394,017",4.8%,0,0,0,0,
1996,6,46,Vermont,60.0%,59.3%,58.2%,"261,469","258,449","435,687","443,874",1.8%,0,0,0,0,
1996,40,47,Virginia,51.3%,50.2%,47.3%,"2,468,229","2,416,642","4,811,632","5,106,297",4.7%,"27,655","29,620","9,918","52,383",
1996,73,48,Washington,59.9%,58.9%,54.3%,"2,293,895","2,253,867","3,829,308","4,147,127",5.8%,"12,527","125,780",560,"75,977",
1996,56,49,West Virginia,47.1%,45.9%,45.5%,"653,331","636,459","1,386,621","1,400,343",0.5%,"2,749","5,669",869,"6,453",
1996,25,50,Wisconsin,,58.4%,56.5%,,"2,196,169","3,763,240","3,886,906",2.0%,"12,991","47,292","8,222","44,859",
1996,68,51,Wyoming,62.5%,61.3%,59.9%,"215,844","211,571","345,112","353,354",1.3%,"1,499","3,432",364,"3,579",
1994,0,0,United States,0.0%,41.1%,38.5%,,"75,105,860","182,623,348","195,258,350",6.4%,"1,037,855","1,778,797","513,686","2,440,940","2,228,514"
1994,41,1,Alabama,,38.8%,37.9%,,"1,201,969","3,095,745","3,170,782",1.0%,"19,573","32,284","7,235","42,950",
1994,81,2,Alaska,54.2%,53.4%,51.2%,"216,668","213,404","399,435","417,053",3.0%,"3,292","2,899",412,"5,154",
1994,61,3,Arizona,39.9%,39.1%,35.6%,"1,153,724","1,129,607","2,892,171","3,169,857",7.5%,"19,746","34,365","4,351","41,280",
1994,42,4,Arkansas,,39.8%,38.8%,,"716,840","1,801,161","1,849,361",1.3%,"8,643","19,606","5,224","23,670",
1994,71,5,California,48.2%,46.9%,38.1%,"8,900,593","8,658,881","18,479,124","22,721,586",17.7%,"125,605",0,"85,082","210,687",
1994,62,6,Colorado,44.3%,42.1%,40.1%,"1,173,130","1,116,307","2,648,684","2,785,952",4.5%,"10,717",0,"2,463","13,180",
1994,1,7,Connecticut,49.8%,49.1%,45.6%,"1,163,829","1,147,084","2,335,579","2,515,100",5.5%,"14,380","53,453","1,146","42,253",
1994,11,8,Delaware,39.3%,38.8%,36.8%,"201,560","199,029","512,941","540,474",2.6%,"4,466","15,507","1,029","13,249",
1994,55,9,District of Columbia,45.2%,44.6%,39.6%,"186,316","183,649","411,886","463,680",8.8%,"10,949",0,0,"10,949",
1994,43,10,Florida,43.9%,42.9%,38.2%,"4,305,340","4,206,659","9,810,247","11,016,840",9.1%,"57,168","247,014","20,573","201,248",
1994,44,11,Georgia,,31.0%,29.2%,,"1,545,328","4,978,431","5,293,282",3.7%,"33,425","140,694","17,505","121,277",
1994,82,12,Hawaii,46.6%,45.6%,41.8%,"377,011","369,013","808,904","882,189",7.9%,"3,333",0,0,"3,333",
1994,63,13,Idaho,53.5%,52.7%,51.0%,"419,330","413,346","784,076","809,957",2.8%,"2,811",0,0,"2,811",
1994,21,14,Illinois,39.4%,38.0%,35.2%,"3,219,122","3,106,566","8,175,312","8,819,582",6.9%,"36,531",0,0,"36,531",
1994,22,15,Indiana,38.0%,36.4%,35.8%,"1,609,481","1,543,568","4,235,008","4,315,664",1.5%,"15,014",0,0,"15,014",
1994,31,16,Iowa,49.2%,48.0%,46.9%,"1,022,372","997,248","2,077,709","2,128,370",1.6%,"5,437","15,902","3,696","17,084",
1994,32,17,Kansas,45.5%,44.7%,43.4%,"836,251","820,846","1,837,694","1,893,521",2.6%,"6,371",0,0,"6,371",
1994,51,18,Kentucky,29.2%,27.7%,27.2%,"827,541","784,299","2,829,881","2,879,413",1.0%,"11,066","11,417","4,380","21,155",
1994,45,19,Louisiana,29.4%,27.2%,26.6%,"893,758","826,837","3,038,660","3,109,456",1.5%,"24,063",0,0,"24,063",
1994,2,20,Maine,,55.7%,54.9%,,"511,733","918,204","932,164",1.5%,0,0,0,0,
1994,52,21,Maryland,41.3%,40.5%,37.6%,"1,437,450","1,410,299","3,480,270","3,751,305",5.2%,"20,998","76,940","14,795","74,263",
1994,3,22,Massachusetts,51.3%,50.1%,46.7%,"2,232,186","2,179,945","4,353,287","4,668,100",6.7%,0,0,0,0,
1994,23,23,Michigan,46.3%,45.1%,43.6%,"3,177,740","3,089,077","6,856,388","7,081,498",2.6%,"40,631",0,0,"40,631",
1994,33,24,Minnesota,55.2%,54.5%,52.4%,"1,794,618","1,772,929","3,253,779","3,385,687",2.5%,"4,575","81,972","1,904","47,465",
1994,46,25,Mississippi,32.6%,31.9%,31.4%,"621,096","608,085","1,903,794","1,935,054",0.7%,"10,930","9,042","1,519","16,970",
1994,34,26,Missouri,,46.0%,44.8%,,"1,775,116","3,858,946","3,958,762",1.3%,"17,898","36,295","12,592","48,638",
1994,64,27,Montana,57.8%,56.3%,55.7%,"359,455","350,387","622,246","629,335",0.8%,"1,764",0,0,"1,764",
1994,35,28,Nebraska,51.0%,49.8%,48.2%,"593,654","579,561","1,164,502","1,201,826",2.0%,"2,711","18,639",771,"12,802",
1994,65,29,Nevada,37.4%,36.9%,33.3%,"386,582","380,530","1,032,456","1,143,487",8.4%,"6,993","9,410","3,529","15,227",
1994,4,30,New Hampshire,38.5%,37.6%,36.6%,"319,443","311,882","829,590","851,104",2.3%,"2,021",0,0,"2,021",
1994,12,31,New Jersey,39.5%,38.1%,33.9%,"2,131,328","2,054,887","5,392,423","6,059,401",8.9%,"24,632","125,299","41,802","129,084",
1994,66,32,New Mexico,43.1%,41.4%,39.1%,"485,709","467,621","1,128,243","1,195,183",4.9%,"3,712","8,063","1,078","8,822",
1994,13,33,New York,43.7%,42.7%,37.5%,"5,325,323","5,203,762","12,192,316","13,861,352",11.2%,"66,750",0,"53,832","120,582",
1994,47,34,North Carolina,,30.3%,29.0%,,"1,588,190","5,244,552","5,477,604",2.6%,"23,648","90,418","20,159","89,016",
1994,36,35,North Dakota,51.3%,50.4%,49.9%,"240,430","236,547","468,989","473,993",0.9%,563,0,0,563,
1994,24,36,Ohio,43.5%,42.3%,41.4%,"3,540,954","3,436,884","8,132,122","8,292,312",1.4%,"43,074",0,0,"43,074",
1994,53,37,Oklahoma,43.1%,42.7%,41.3%,"1,002,363","995,012","2,327,519","2,410,272",2.0%,"16,631","28,285","2,604","33,378",
1994,72,38,Oregon,56.3%,54.8%,52.1%,"1,254,265","1,221,010","2,229,242","2,344,505",4.6%,"6,936",0,0,"6,936",
1994,14,39,Pennsylvania,,39.6%,38.8%,,"3,585,526","9,043,585","9,241,090",1.8%,"28,302",0,0,"28,302",
1994,5,40,Rhode Island,,50.5%,46.5%,,"361,377","716,002","776,723",6.2%,"2,919","18,179",525,"12,534",
1994,48,41,South Carolina,35.7%,35.1%,34.0%,"951,901","934,886","2,663,830","2,747,987",1.4%,"18,999","40,005","6,077","45,079",
1994,37,42,South Dakota,61.3%,60.1%,59.4%,"318,090","311,613","518,815","524,910",0.8%,"1,708",0,0,"1,708",
1994,54,43,Tennessee,,38.6%,37.7%,,"1,487,130","3,850,228","3,945,407",1.4%,"14,401","34,896","9,353","41,202",
1994,49,44,Texas,,37.5%,33.0%,,"4,396,242","11,719,888","13,334,014",8.9%,"118,195","396,276","108,563","424,896",
1994,67,45,Utah,42.7%,41.5%,39.8%,"532,737","517,790","1,248,726","1,302,522",4.1%,0,0,0,0,
1994,6,46,Vermont,50.8%,49.5%,48.7%,"216,715","211,449","426,953","434,549",1.7%,0,0,0,0,
1994,40,47,Virginia,,43.6%,41.3%,,"2,057,463","4,718,968","4,983,515",4.3%,"26,968","24,089","9,649","48,662",
1994,73,48,Washington,46.7%,45.8%,42.6%,"1,733,471","1,700,173","3,715,174","3,994,036",5.3%,"10,833","110,279","1,650","67,623",
1994,56,49,West Virginia,31.9%,30.5%,30.2%,"439,551","420,936","1,379,339","1,392,499",0.5%,"1,930","5,992","1,380","6,306",
1994,25,50,Wisconsin,,42.4%,41.2%,,"1,565,628","3,692,668","3,801,543",1.8%,"10,022","45,901","7,065","40,038",
1994,68,51,Wyoming,60.5%,59.8%,58.6%,"204,025","201,710","337,032","344,492",1.2%,"1,217","3,367",313,"3,214",
1992,0,0,United States,0.0%,58.1%,54.7%,,"104,405,155","179,655,523","190,777,923",6.0%,"866,945","1,648,767","491,856","2,183,185","2,417,648"
1992,41,1,Alabama,,55.7%,54.5%,,"1,688,060","3,030,549","3,096,959",0.9%,"17,453","31,188","6,934","39,981",
1992,81,2,Alaska,67.1%,66.3%,63.6%,"261,427","258,506","389,898","406,653",2.9%,"2,865","3,014",710,"5,082",
1992,61,3,Arizona,56.7%,55.7%,51.3%,"1,516,276","1,486,975","2,671,933","2,897,181",6.5%,"16,477","34,647","3,588","37,389",
1992,42,4,Arkansas,,54.3%,53.1%,,"950,653","1,751,083","1,789,420",1.0%,"8,285","16,448","3,460","19,969",
1992,71,5,California,61.6%,60.3%,49.3%,"11,374,565","11,131,721","18,460,157","22,573,381",17.3%,"109,496",0,"87,725","197,221",
1992,62,6,Colorado,64.0%,62.9%,60.3%,"1,597,166","1,569,180","2,494,998","2,602,217",3.7%,"8,997",0,"2,634","11,631",
1992,1,7,Connecticut,69.8%,68.6%,64.1%,"1,645,609","1,616,332","2,356,937","2,521,774",5.1%,"11,403","48,567",483,"36,170",
1992,11,8,Delaware,58.3%,58.0%,55.3%,"290,836","289,735","499,266","523,661",2.2%,"4,062","14,887","1,120","12,626",
1992,55,9,District of Columbia,54.2%,53.3%,47.7%,"231,445","227,572","427,102","477,564",8.3%,"10,845",0,0,"10,845",
1992,43,10,Florida,57.2%,55.9%,50.2%,"5,438,612","5,314,392","9,506,230","10,591,116",8.7%,"48,302","200,471","14,021","162,559",
1992,44,11,Georgia,,48.5%,45.9%,,"2,311,253","4,766,958","5,037,354",2.9%,"25,290","153,154","23,020","124,887",
1992,82,12,Hawaii,48.2%,46.9%,43.0%,"382,882","372,842","795,148","866,114",7.9%,"2,926",0,0,"2,926",
1992,63,13,Idaho,66.9%,65.6%,63.8%,"491,725","482,142","734,855","756,119",2.5%,"2,256",0,0,"2,256",
